strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,target_threshold
146,SPY_15m_compiled_strategy_146,975,3.1862745098039214,0.5025641025641026,-0.06421683117463384,-0.07616595490157307,-6.412917071567641e-05,2.3076923076923075,40.0,3.0,0.003,0.0015
147,SPY_15m_compiled_strategy_147,772,2.522875816993464,0.49352331606217614,-0.047655141069340545,-0.05661661148192065,-5.9200435094920876e-05,2.2292746113989637,40.0,3.0,0.003,0.002
148,SPY_15m_compiled_strategy_148,579,1.892156862745098,0.47668393782383417,-0.07485562670361545,-0.08868872041618647,-0.00012975917172908138,2.250431778929188,40.0,3.0,0.003,0.0025
149,SPY_15m_compiled_strategy_149,480,1.5686274509803921,0.48333333333333334,-0.039205672132153424,-0.04661743599624946,-7.817782597538015e-05,2.220833333333333,40.0,3.0,0.003,0.003
150,SPY_15m_compiled_strategy_150,313,1.022875816993464,0.4792332268370607,-0.001568510965533676,-0.0018719333230657886,5.876976669239643e-07,2.246006389776358,40.0,3.0,0.003,0.004
151,SPY_15m_compiled_strategy_151,219,0.7156862745098039,0.4474885844748858,-0.031619999677795274,-0.03762596412638741,-0.00014356753908378015,2.0821917808219177,40.0,3.0,0.003,0.005
152,SPY_15m_compiled_strategy_152,1440,4.705882352941177,0.5229166666666667,-0.035899432806034914,-0.042700158047454084,-2.1669725695658336e-05,2.689583333333333,40.0,3.0,0.004,0.0005
153,SPY_15m_compiled_strategy_153,1217,3.977124183006536,0.5028759244042728,-0.11280007689921612,-0.13312389868036367,-9.464500536281762e-05,2.4133114215283484,40.0,3.0,0.004,0.001
154,SPY_15m_compiled_strategy_154,980,3.2026143790849675,0.5040816326530613,-0.07920350397605724,-0.09379853819000716,-8.00886922483474e-05,2.326530612244898,40.0,3.0,0.004,0.0015
155,SPY_15m_compiled_strategy_155,777,2.5392156862745097,0.4929214929214929,-0.06058882795347964,-0.07188916412324176,-7.6161093847433e-05,2.27027027027027,40.0,3.0,0.004,0.002
156,SPY_15m_compiled_strategy_156,587,1.9183006535947713,0.4752981260647359,-0.09004831442353423,-0.10652345069755476,-0.00015578989484411237,2.2964224872231687,40.0,3.0,0.004,0.0025
157,SPY_15m_compiled_strategy_157,487,1.591503267973856,0.4784394250513347,-0.060659743665411825,-0.07197279222011332,-0.00012304278148944452,2.248459958932238,40.0,3.0,0.004,0.003
158,SPY_15m_compiled_strategy_158,315,1.0294117647058822,0.48253968253968255,-0.0008521365134581682,-0.0010170496032176901,3.1272767563708375e-06,2.2444444444444445,40.0,3.0,0.004,0.004
159,SPY_15m_compiled_strategy_159,220,0.7189542483660131,0.45,-0.035422124050288106,-0.04213442094617825,-0.0001604688917200416,2.081818181818182,40.0,3.0,0.004,0.005
160,SPY_15m_compiled_strategy_160,1419,4.637254901960785,0.5221987315010571,-0.08026629784464823,-0.09504687101779452,-5.511523217819562e-05,2.7540521494009864,40.0,3.0,0.005,0.0005
161,SPY_15m_compiled_strategy_161,1196,3.9084967320261437,0.5008361204013378,-0.15362806094892423,-0.18052609837622868,-0.00013557384518530398,2.4849498327759196,40.0,3.0,0.005,0.001
162,SPY_15m_compiled_strategy_162,962,3.1437908496732025,0.498960498960499,-0.12048144181021025,-0.14207502519196946,-0.00012908164977554846,2.3908523908523907,40.0,3.0,0.005,0.0015
163,SPY_15m_compiled_strategy_163,762,2.4901960784313726,0.49081364829396323,-0.08908268547711828,-0.1053916016704246,-0.00011794952804167281,2.325459317585302,40.0,3.0,0.005,0.002
164,SPY_15m_compiled_strategy_164,574,1.8758169934640523,0.47038327526132406,-0.12125175007691402,-0.1429718359814891,-0.00021995375280447858,2.3763066202090593,40.0,3.0,0.005,0.0025
165,SPY_15m_compiled_strategy_165,485,1.5849673202614378,0.47216494845360824,-0.09089662816856459,-0.10751759840925412,-0.00019079200477576058,2.3092783505154637,40.0,3.0,0.005,0.003
