strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
211,10,4,0.001,0.002,0.005,1027,-0.5462398056539771,0.45569620253164556,497,530,-0.5127286943385767,-0.5776643760761547
212,10,4,0.001,0.0025,0.002,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
213,10,4,0.001,0.0025,0.003,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
214,10,4,0.001,0.0025,0.004,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
215,10,4,0.001,0.0025,0.005,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
216,10,4,0.001,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
217,10,4,0.001,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
218,10,4,0.001,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
219,10,4,0.001,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
220,10,4,0.0015,0.001,0.002,3269,-0.8119754584842751,0.482104619149587,1917,1352,-0.7704791732052136,-0.8708130168274408
221,10,4,0.0015,0.001,0.003,2874,-0.8518108929436765,0.477035490605428,1522,1352,-0.8349312139089528,-0.8708130168274408
222,10,4,0.0015,0.001,0.004,2088,-0.9482451271102884,0.47270114942528735,990,1098,-1.2085493296874235,-0.7135446165899205
223,10,4,0.0015,0.001,0.005,1503,-0.8398662714620632,0.46773120425815035,717,786,-0.9864075154266927,-0.7061893351737181
224,10,4,0.0015,0.0015,0.002,2084,-1.0858148348260945,0.4611324376199616,1110,974,-0.9850466004368996,-1.2006533770971488
225,10,4,0.0015,0.0015,0.003,2084,-1.0858148348260945,0.4611324376199616,1110,974,-0.9850466004368996,-1.2006533770971488
226,10,4,0.0015,0.0015,0.004,1749,-1.0182483024532123,0.45740423098913663,846,903,-0.9083784974511199,-1.121182804149525
227,10,4,0.0015,0.0015,0.005,1360,-0.959102203112833,0.45,658,702,-0.6934504182737676,-1.2081034487312163
228,10,4,0.0015,0.002,0.002,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
229,10,4,0.0015,0.002,0.003,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
230,10,4,0.0015,0.002,0.004,1033,-0.568667946091354,0.4530493707647628,500,533,-0.5253401864730902,-0.6093131239696502
231,10,4,0.0015,0.002,0.005,1027,-0.5462398056539771,0.45569620253164556,497,530,-0.5127286943385767,-0.5776643760761547
232,10,4,0.0015,0.0025,0.002,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
233,10,4,0.0015,0.0025,0.003,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
234,10,4,0.0015,0.0025,0.004,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
235,10,4,0.0015,0.0025,0.005,681,-0.5207594455424176,0.4654919236417034,322,359,-0.1816514273481491,-0.8249176122793379
236,10,4,0.0015,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
